[295,172];149(_,172(_,295(_,3)))
[28,1];108(1(_,104),73(28(177(168,237),56(52,_)),_))
[269,227];89(186(110(_,162(122(120,148(129,_)),17(_,181))),215(207(206(204,_),210),281(269(248(227,_),_),8(45(291(_,38(_,42)),47(_,56(55,_))),_)))),_)
[81,31];137(110(_,118),57(240(21(186,220),262(257(246,_),48(27(_,32(31(282(_,299),_),36)),49))),88(75(_,81),_)))
[202,267];58(177(129(_,164),280(240(206(188(181,202),210(_,212(_,235))),266(259,267)),285(_,295))),73(6,74))
[152,10];10(_,173(152,200(_,259)))
[108,204];135(108,33(204(141(138,187(_,197)),_),81(44(_,45(_,5)),_)))
[18,239];118(_,33(122(_,224(216(18(159,_),_),272(256(239(230(_,234),243(_,247)),257),287))),40(34,59(_,71(_,78(_,82(_,84)))))))
[109,187];168(109(_,142(123,151)),192(175(169,190(187,_)),205(_,36(265(227(218,234(_,248)),35),60))))
[234,101];101(_,250(234(130(_,153(_,173)),_),27(_,42(34,_))))
[49,82];49(203,81(51,82))
[105,16];25(16(105,_),84)
[1,111];290(11(102(1,_),287(254(148(113(111,_),149(_,17(_,231(170(_,197(183(177,_),_)),_)))),278(265,279)),_)),64(54(42,56),88(85,92)))
[256,292];182(_,256(20,73(62(292,_),_)))
[252,51];97(233(102(_,190(152(128(111(109,_),_),_),209(195(_,205),219(_,22(_,227))))),246(24(236,_),262(26(252,_),89(35(288(267,32),7(51,_)),94)))),_)
[290,108];99(210(101(_,108(_,164(123(109,154(_,157)),17(_,193)))),290(221(_,236(229,267(239,282(_,287)))),33(_,56(_,92(62(_,83),_))))),_)
[224,213];224(116(111(_,114),134(_,213(205(136(_,162(144,191(184,_))),_),_))),96(90(235(_,79(32(299(260,_),54(34,74)),_)),_),_))
[160,146];146(_,75(160,_))
[82,113];80(113(_,297(12(114,152(_,236(222(178(157,_),_),_))),33)),82)
[104,215];78(273(229(215(17(149(104(_,138(131,_)),152),197(179,_)),_),234(23,264(24(235,252(_,260)),_))),75(288(_,32(291,49(34,64))),76)),96(_,98))
[21,102];21(102,69(65,_))
[44,233];165(149(11(104,_),16),96(48(214(166,257(233(223,246),41(259,44))),6(_,95)),_))
[25,37];65(188(161(11(_,144(131(_,142),149)),167(_,184(_,185))),40(290(220(194(_,197(_,21)),287(252(244(_,247(_,25)),261),_)),37),55(47,_))),74(_,8))
[202,5];32(260(187(14(_,144(_,159(_,17))),223(202(_,205),_)),294(269(263,272(_,293)),_)),9(5(_,79(52,_)),_))
[235,281];17(162,198(195(184(172(_,177),190),_),269(25(221(_,224(_,244(235(226,_),_))),252),281(275,30(291,50(_,69(63,81)))))))
[221,100];168(100(_,111(_,119)),211(170(17,_),214(_,253(221,275))))
[91,165];11(_,162(145(135(114,_),_),73(235(19(165(_,182),224(22(195(_,200(198,207)),_),_)),60(268(248,29(285,293)),7)),91(_,93))))
[225,215];71(65(215(168(16(151(148(114(113,133),_),_),161),178(_,205(_,21))),225(_,52(230(_,26(_,49(275(_,289(280,296)),_))),_))),7),9(78,90))
[280,219];99(117(100(_,112(11,_)),289(257(159(149,219(192(_,215),225)),280(260(258,262(_,276(274,_))),_)),83(77(71(50(48,_),_),_),_))),_)
[291,171];35(242(203(161(106(_,129(108,_)),191(190(171(169,_),_),193(_,198))),225(_,226)),260(248,291(_,30))),80(79(63(4,_),_),84))
[240,282];240(_,282)
[283,241];180(102(_,158(156(135,_),176)),292(254(211(195,241(221,_)),256(_,29(283,_))),52(32(_,34),68(_,84))))
[255,160];221(209(170(150(_,160),202(178(_,19(_,190)),205)),_),42(278(234(_,243(_,251(_,258(255,276)))),40(293(_,299),_)),49(_,96(69(65,_),_))))
[162,296];115(_,162(_,296))
[187,76];249(182(150(_,152),207(187,212(_,227))),27(263,9(287(271,43(_,45(_,80(76,_)))),95)))
[64,14];209(10(_,13(_,153(14,189))),277(234(_,244(_,255(249,276))),71(31(292(289,_),64(_,70)),82(_,86))))
[50,262];56(295(231(20(173(125(10,17(126,_)),192(191,_)),21),28(277(256(253(234,_),268(262,_)),279),_)),40(_,49(_,50))),86(70(_,79(_,82)),_))
[148,223];194(16(148,_),63(36(223(212,_),44),86(84,99)))
[159,93];100(10,260(159(135(105(_,108),158),224(222(177,_),238(235,242))),33(297(279(278,286),32),93(52(40(36,45),_),_))))
[270,256];118(106,172(134,89(256(229(228(222,_),238),270(26,_)),_)))
[293,218];248(192(161(116(109,_),175(_,179)),218(_,223(221,_))),65(272(265,278(_,293(_,62(55(43,_),_)))),99))
