[12,236];228(12,241(236,283(_,47(_,85))))
[278,195];278(221(177(176(117(_,146),_),203(182(_,195(_,199)),_)),256(244(243,253(245,_)),273(268(_,272),_))),91(81(286(_,298(_,7)),_),94))
[117,71];2(117,217(214,35(285(251(219,_),_),71)))
[230,62];245(130(_,242(194(137(_,141),230),_)),52(273(263,297),66(62(59,_),79)))
[288,170];170(_,80(288,99))
[164,186];288(129(100,169(149(137(_,138(_,144)),164),267(226(193(183(_,186),209),254),_))),46(35(34,_),97(69(_,72),_)))
[298,147];298(158(146(145(100(_,137),_),147(_,148)),228(211(186,_),25(229,278(254,_)))),74(73(44(_,62),_),91))
[177,59];37(189(147(144(102(_,119),_),174(168(159,_),177)),283(239(_,240(_,281(253,_))),30(3(296,_),35))),46(_,59(_,63)))
[191,136];125(122(11(1,_),_),34(162(146(136,_),230(191,_)),79))
[52,231];45(181(177(104(_,146(121,_)),_),231(_,272)),90(52,_))
[260,181];260(181,84)
[245,282];25(20(161(134,191),239(218(207,_),245)),31(281(260,282(_,295)),72(50(33(_,5),62),74(73,91))))
[106,65];119(108(106,_),50(295(185(122(_,161),203(_,231(21,237(_,243)))),_),65))
[11,241];289(108(107,186(11(_,154(132(_,15),180)),236(214(199(_,211),23(227,_)),263(26(241(_,249(_,252)),_),286(275,_))))),30(_,48(32(_,42(_,45)),49(_,70))))
[71,136];293(198(184(114(102,136(122(_,130),_)),_),24(233(211(202,_),_),271)),71(59(30(_,51(4(_,41),_)),_),97(82(78,90),_)))
[141,198];56(3(144(141(109(_,113),_),296(220(192(175(145(_,169(162,_)),182),209(205(198,_),218)),221(_,233)),_)),39),99(79,_))
[237,169];136(103,23(158(140(_,157),169(_,192(176,_))),67(298(297(237,_),58(56(51,_),_)),_)))
[227,94];246(142(103,227),94(285,99(97,_)))
[17,293];217(170(146(118(110(_,113(112,_)),126),17(152(147,_),_)),196(_,2)),85(76(271(267(220(_,230),268),283(272,42(293,63(57,_)))),_),86))
[35,81];81(186(138(131(107,132),_),42(293(21(193(_,194),263(255(_,260),284(_,290(289,_)))),39(35,_)),56)),92(83,99))
[158,199];158(145,199(182,26(227(226,250),71(67(278,_),_))))
[39,275];65(264(230(137(_,18),_),39(279(275,_),4)),72)
[190,87];248(147(1(_,102(_,105(_,143))),204(176(156(_,166(_,170)),199(190(183(18,_),_),_)),237(225(219(21,22),_),_))),80(39(276,72(63(_,67),_)),87))
[298,182];98(118(102,148(139,80(75(249(161(_,189(168(_,174(_,182)),207(_,232(212,_)))),264(252,66(270(_,298),_))),_),85))),_)
[204,213];213(18(17(122(_,125(_,156(_,159))),177),204(187(_,201),_)),72(7(275(254(215(_,226),_),44),_),78))
[171,36];298(171(130(_,145),270(235(211(189,_),246),_)),89(87(36,_),_))
[97,56];49(126(107,263(253(252(248(159(138,237(211(203,_),_)),_),_),_),42)),83(56(5,73),97(93,_)))
[189,276];189(_,58(276(19,4(37,_)),_))
[40,161];275(202(161(139(125,151(142,_)),_),228(214,265(231(_,237(234,25(248,_))),_))),294(29(281(_,286),_),40(295(_,3),46(44,74(52(48,_),89)))))
[191,247];268(191(10(_,131(_,172(134(132,_),185))),225(_,252(236(_,247),260))),67(43(27(269,295(280,_)),62(51(_,61),_)),9(88,_)))
[97,170];53(226(210(170(161(143(1(_,124),146),_),179(_,186)),221),288(278(23(_,252(240,268)),285),296)),97(8(56(_,62),_),_))
[104,231];63(104(_,18(120(116,154(_,167)),231(230(223(180,_),_),247))),73(64,_))
[261,105];235(12(105,156),54(261,_))
[38,158];101(_,25(165(138(117,158),236),38(32,_)))
[213,17];185(17(109(_,143),_),39(213(197,298(279(264,_),_)),84(7(43,_),96)))
[51,9];213(129(116(101,12),199(134(_,140(136,_)),208(_,210))),47(36(33(215(_,217(_,272(269,292))),_),42),9(51(49,76),99)))
[98,255];42(161(149,255(169(_,212(201(185(_,200),209),_)),264(_,266))),58(5,98))
[107,108];209(102(_,107(_,108(_,114(_,136(_,18(150,206(201,_))))))),287(270(235(232,251),275),46(292(_,299),53(_,86(77(6,_),_)))))
[86,130];239(135(130,_),278(27,86))
[59,296];296(149(_,230(168(167,214(189,217(_,218(_,225)))),264(247,_))),59(5,61(_,98)))
[144,3];276(144(110(105,122),22(169(_,206(173,208)),228(_,246))),82(39(279(_,292(285,3)),62(4,_)),9(_,91)))
[237,138];217(126(111,15(138(127,_),170(153,21))),31(237(_,296),83(36(_,72),_)))
[73,235];59(110(11(105(103,_),_),46(261(157(13(124,155(151,_)),19(183,192(_,235))),273(271(27,_),44(293,_))),51)),73(71,_))
[112,64];90(64(278(177(136(112,174),211(209,_)),_),80),_)
[24,37];24(128(114,23),263(_,28(_,295(_,37))))
[160,86];116(110(_,111),186(160(123,_),79(53(224,_),86)))
[87,56];279(103(_,243(200,_)),56(292,87(_,95)))
[23,272];272(23,_)
[62,87];57(192(159(140,17),250(215,34(270,_))),81(62,87(_,98(88,_))))
[103,190];17(11(109(106(103,_),_),161(127(123,137(133,144(143,_))),167)),72(31(190(173,291(256(218,286(258,_)),_)),_),94(75(_,82(_,85)),_)))
[219,60];219(203(138(_,170),_),60)
