723x835;741x853:830x148;954x419
321x761;710x912:291x163;913x827
483x423;788x745:290x843;763x964
569x649;748x760:880x432;933x642
662x548;911x816:970x406;994x501
620x366;729x636:303x790;725x900
201x603;607x631:575x818;917x849
216x227;262x771:161x667;514x669
140x660;933x785:213x243;232x918
182x253;291x432:45x405;177x491
623x739;758x903:242x764;349x904
918x430;984x992:579x930;786x994
617x211;731x817:464x862;702x977
264x24;767x689:620x911;799x998
651x459;658x744:795x265;973x642
157x784;681x946:104x459;870x566
200x774;302x991:518x931;978x990
492x6;699x298:875x567;882x670
891x190;957x239:837x457;905x507
32x663;953x666:286x50;707x536
223x162;553x963:270x202;925x753
84x649;945x723:377x505;411x932
53x914;874x918:961x6;968x146
669x674;811x786:922x191;986x583
356x22;592x677:831x74;929x941
399x681;488x810:328x441;496x901
445x45;680x873:536x595;905x667
418x32;494x400:227x16;795x747
747x376;973x953:695x840;782x901
792x716;798x931:782x457;949x601
984x804;986x882:376x438;533x713
768x441;920x631:162x903;909x905
130x706;640x753:500x445;894x734
581x84;645x842:3x459;23x817
672x2;987x764:748x936;982x959
453x761;567x987:514x940;865x967
121x254;792x753:636x557;684x924
654x391;950x646:669x404;885x965
194x588;597x988:219x16;593x377
647x641;699x900:334x758;667x911
211x189;644x456:897x407;930x410
404x93;952x352:275x961;382x963
801x728;915x854:526x863;650x884
746x333;815x372:482x186;538x944
96x520;130x561:440x751;911x966
92x696;288x960:74x272;693x537
185x196;429x596:696x902;718x975
683x845;920x892:572x669;965x784
733x843;825x862:49x513;103x863
819x387;938x507:169x451;596x932
996x359;997x434:920x734;923x893
133x510;732x918:157x19;807x796
545x819;876x858:933x518;957x550
784x327;995x589:249x361;651x673
297x377;786x773:921x986;978x995
607x961;784x990:921x207;933x990
640x261;776x334:966x57;988x793
599x866;942x893:248x271;535x813
329x909;778x936:473x413;902x947
738x293;821x552:744x103;839x143
770x421;830x827:893x227;994x382
638x386;689x758:126x749;582x851
177x267;324x555:822x76;874x398
962x352;965x797:920x486;995x606
752x305;803x529:609x322;846x748
440x166;594x909:175x523;810x587
565x543;712x913:191x775;285x860
184x779;630x842:986x845;991x992
652x995;963x996:768x101;810x870
854x217;883x458:851x181;999x240
532x495;900x683:377x688;388x982
428x333;561x972:420x847;860x872
427x122;556x423:116x136;357x500
235x956;492x990:260x160;518x897
364x903;946x983:830x455;998x609
203x723;861x818:752x521;941x950
346x190;800x926:564x948;997x958
650x110;984x413:780x985;815x995
71x127;576x873:394x253;648x699
767x589;961x742:68x696;345x967
812x217;881x348:2x686;264x829
965x49;987x331:340x171;965x886
838x946;856x952:693x768;749x882
440x838;981x944:225x600;501x712
259x338;917x817:345x427;833x945
855x513;991x662:450x547;718x761
661x676;731x843:456x944;719x984
594x939;801x959:820x616;865x737
39x949;98x971:686x524;737x579
678x651;932x750:324x976;331x980
418x194;856x290:693x601;888x898
941x901;978x919:150x962;853x982
321x617;414x765:446x521;697x634
679x190;789x947:803x57;978x352
533x636;853x993:829x119;861x930
458x274;969x780:218x213;464x607
824x834;964x921:687x516;848x532
231x314;583x804:952x553;993x557
577x347;931x854:293x887;446x925
17x168;534x341:992x960;997x999
127x246;392x655:62x476;429x482
169x28;832x287:954x605;963x899
389x403;518x998:735x152;851x194
909x529;941x926:497x862;652x866
496x651;985x708:724x759;728x768
360x821;542x948:46x309;570x828
919x470;939x748:284x578;969x633
150x43;162x205:480x478;947x649
933x539;995x813:681x93;700x300
450x950;835x980:75x226;186x382
39x557;756x958:388x552;560x987
390x680;753x956:858x990;948x992
803x27;945x272:613x210;957x467
155x449;204x702:505x178;886x628
786x779;846x823:857x768;900x775
377x734;819x855:667x545;981x813
707x987;965x992:314x172;474x824
534x400;564x869:125x521;563x967
416x3;598x695:849x412;910x769
949x583;979x694:512x588;667x876
510x144;959x953:62x558;594x758
107x72;171x322:760x626;932x849
187x604;786x662:527x584;727x590
469x821;845x974:281x203;571x418
474x718;698x987:988x785;994x886
752x931;851x979:293x534;952x852
958x737;996x781:128x95;866x426
331x663;364x716:96x628;490x722
866x279;932x383:239x875;731x904
949x851;952x948:669x80;738x791
173x725;669x823:442x529;946x675
329x857;748x907:151x805;720x921
768x456;778x939:64x402;476x889
41x493;900x943:896x512;967x843
967x712;978x921:262x524;310x767
961x991;997x993:316x373;764x749
249x587;305x851:436x315;893x511
197x459;701x917:862x815;976x897
111x87;532x764:701x883;861x889
516x570;784x891:477x822;753x970
521x451;663x836:432x90;671x389
8x861;976x957:866x50;878x159
113x503;889x920:543x511;780x759
189x162;507x823:293x713;317x842
804x414;810x646:307x988;420x993
382x873;613x974:525x182;578x854
503x203;684x445:412x330;821x787
783x408;983x442:230x165;276x348
261x386;570x931:279x698;880x915
885x313;901x589:136x632;249x776
209x375;582x387:529x245;905x624
696x164;886x940:377x0;682x326
208x518;451x686:848x435;917x783
664x167;897x335:808x367;822x610
