88x83;89x95:20x37;40x83
60x73;83x97:82x25;99x96
13x94;27x99:87x77;94x90
38x78;89x91:68x92;96x95
55x7;75x18:68x87;90x92
34x4;44x64:26x81;42x89
49x28;67x44:23x38;69x96
26x2;74x50:84x92;85x93
62x21;78x65:40x86;58x87
27x68;62x86:22x50;85x88
1x35;30x57:38x12;66x42
6x25;77x90:42x37;67x91
20x21;40x63:57x18;84x95
46x97;57x99:31x24;86x77
13x10;21x54:98x65;99x76
27x13;32x52:23x76;58x86
10x96;44x99:59x54;77x76
10x0;50x32:96x35;97x66
51x86;86x95:29x74;41x92
57x28;69x81:35x80;45x81
43x96;95x99:69x72;88x79
53x51;77x76:62x29;87x97
70x13;92x65:92x52;95x74
60x51;95x70:85x19;95x49
62x61;98x89:70x50;73x86
98x0;99x10:62x19;76x25
97x79;98x88:44x87;74x98
37x92;52x93:0x73;9x77
31x78;50x83:2x33;58x98
24x95;41x96:41x46;47x74
68x93;93x97:69x56;73x66
6x72;88x84:70x77;82x98
30x6;64x65:4x27;74x84
5x97;50x99:28x85;70x89
76x33;88x74:39x19;48x72
69x48;93x97:50x23;95x86
43x11;69x76:77x44;88x48
50x36;96x99:6x24;51x45
1x2;50x64:60x61;70x88
28x11;56x44:2x28;29x35
22x0;58x38:13x9;58x12
4x54;36x87:63x29;78x80
54x33;65x99:89x79;99x96
83x70;85x76:19x93;78x94
62x83;98x95:24x26;92x72
39x98;75x99:20x14;76x62
8x46;37x62:71x74;96x80
65x18;77x48:66x31;97x90
37x47;68x68:77x85;90x97
96x78;97x81:59x80;90x93
93x45;97x49:63x66;78x78
21x4;22x38:23x44;63x46
26x41;51x75:30x8;64x72
44x68;93x99:89x44;91x75
51x71;53x97:95x40;98x59
81x16;89x46:35x77;66x91
81x78;92x85:48x21;72x51
55x15;97x56:93x64;97x72
55x37;85x93:98x31;99x54
91x21;99x69:66x52;99x57
9x49;35x99:36x76;45x81
80x96;92x99:97x15;99x44
78x35;81x85:89x23;94x94
24x65;36x74:52x15;90x95
41x10;91x57:46x70;93x87
89x90;98x95:19x35;83x41
82x69;88x71:18x73;24x82
3x46;46x98:87x53;92x80
43x36;46x54:34x23;42x44
42x56;62x76:58x0;81x69
78x5;88x14:94x23;96x52
11x63;24x77:83x10;94x93
26x20;72x39:35x70;91x87
8x44;91x55:63x74;77x89
43x1;54x21:54x51;56x68
79x42;99x75:0x63;23x66
22x9;74x22:28x48;96x77
71x44;83x92:23x91;34x99
37x81;54x83:22x90;57x91
10x23;11x60:6x13;28x58
27x89;70x98:13x48;81x64
68x95;99x97:30x88;73x99
4x34;12x46:83x23;86x35
74x6;80x31:83x31;85x48
25x72;79x76:86x2;98x58
77x76;98x83:74x10;95x75
10x63;23x98:17x17;30x25
33x95;99x97:3x22;69x56
66x50;69x52:35x19;51x93
5x42;31x66:38x37;64x66
11x8;22x23:96x59;99x71
54x9;90x40:51x60;87x75
69x92;79x99:15x21;75x27
93x58;95x90:10x65;43x97
60x41;83x59:55x34;93x68
46x51;50x73:68x81;91x94
65x25;66x76:71x52;74x65
88x5;98x27:97x69;99x93
11x77;64x94:12x95;58x97
96x16;98x58:22x55;89x77
