19736014x88227392;60642425x92728947:39966663x21677338;91714696x72487057
4124689x44405921;56304043x64952304:41878092x89448801;67143006x91124605
51891585x18662639;92463656x50701021:73966494x16960487;86228148x16998194
61577665x73684895;79481739x86178765:52810414x10975694;90608721x19047776
5002704x60360898;99520188x65165347:38422604x76706237;88734165x97629320
35874853x62966323;91924981x66609717:69812425x38966902;97713331x70019996
91251274x4764550;91486207x27441370:85919682x50731078;96567798x90316938
34004350x85427119;60350642x91486305:24621161x91187411;56000848x96179456
43448487x98535254;62003499x98648687:38466125x55521691;66101604x73211207
7628428x69577076;85353387x77041449:11224658x37079084;38971598x69634121
7631185x61558256;9415113x75148019:88847555x4302727;96765742x82000666
48763840x87499315;78519800x91884172:47700241x4395564;58390125x94547055
96219993x71371928;96717657x98298319:48976644x52343848;64362997x92140102
47163644x12586662;71546870x29611149:67995686x10769434;74595213x19218673
2842171x52730949;73652303x62273555:33998119x95088491;89106924x95486172
28508087x60043966;69454897x74061361:96147158x52271791;97705986x86899320
79748244x75558709;83176525x77250921:35035238x80367680;71682770x83032824
49587459x67355890;52279737x94673129:23835915x68604719;35572558x77799768
47306658x1078813;67451980x21753098:17597471x41565397;29642880x85994477
18077184x97908740;51567015x98157280:1647421x23463098;15512367x32709978
93876783x84440606;99721038x92898387:40872495x33910284;97432891x97302611
92513868x96351935;94042749x99258670:33908350x40741017;65229486x67304509
88670022x17484576;96245150x48554956:93152502x71472681;94646128x88260578
75362912x5276154;89899557x68050116:38334215x15666542;59719277x47462594
81877391x42809489;84007581x84527890:21532896x44847388;77959924x96110982
4320961x86991402;25063102x99242241:22103896x79680205;84931760x87482676
138717x18732183;56881216x20073410:25427162x94597018;48581713x97634723
23971509x16023817;86333122x99354484:20295437x90642439;40570294x93098179
4756292x58145913;96386051x86953796:65513065x2016611;94688190x17423181
22011775x15550129;22170776x92244718:17491758x71857087;96539357x94705748
79322889x40843332;99986734x90899909:34540256x18970588;66258667x83978066
17157300x52650930;71261982x61841327:47940189x76924807;79584997x78099254
31036435x28661872;97145268x96492011:75899684x80252458;97779354x86435295
54804707x84158618;59190236x99808528:9037801x40672627;25891556x60342502
10166917x64691053;45298357x79587053:46114620x85400039;54783687x88340373
77234987x20889128;96650367x53507432:67440315x63072723;97667351x64033534
23279069x14917019;32794082x83894866:64769264x52526101;71706058x92518256
19683383x75579163;22278299x75687173:93650125x96068393;95627465x96790472
24637511x73295255;35780145x89541576:50618566x40398596;57306525x93353745
10460481x27642272;60388036x90894998:13550836x10420269;51048870x22579447
46630783x34022053;50065575x47866219:95249235x18237785;98658218x42027037
86581360x48537479;94884052x76461154:96404589x44560163;98614336x87133914
89217656x90612558;94509020x95262088:68198262x29306641;70139359x73449155
72003510x67520425;93258567x70492398:9229125x56598026;62926145x70602411
92810587x5193046;98567620x28242401:84509039x84343927;95219994x84916077
96547598x64432242;97290656x92508861:26962106x40311349;35303718x73856530
11200193x19218420;43841342x22705378:54158162x22961022;90175149x97767046
77129260x11753894;84632464x63890684:99753000x61575228;99896511x91327943
5276293x69751174;66030080x92563902:68649607x71599658;90112379x90033120
64730405x22567149;87494732x36416561:9556144x98009992;72043485x99861995
35609085x54992118;69754853x90111808:47956468x13048279;63966253x89995389
57115521x24558880;94599777x44356373:92013998x91900595;97794749x94935157
59947682x10288792;79786007x74746666:6144642x86449089;6420908x91298051
65158471x94760380;96255367x97583035:13837532x74534377;60946558x89621118
34797006x11124653;39157712x38509755:22492531x22438960;68008819x43571400
51089609x83402903;90293999x99869482:11345412x40346894;84346846x63306238
72643175x11741062;92364619x97983848:9141963x82776316;75501150x93757908
66579768x64192556;70648073x85094662:65603822x93733680;88215777x93936969
12873135x3749778;41424995x35681329:37589039x26341823;48742496x47801948
27092066x60505000;84615287x62126439:49204742x52380384;64511003x83783073
48905492x44729410;87404916x45557505:82031471x47502493;86105065x66969286
23911573x65209109;68601243x84935276:92145265x63053646;99917641x97308819
86421863x61624572;87521864x70249797:69470526x34738316;84928350x60495546
45747843x48510897;89153482x75616342:45944054x3253670;63697445x63695301
59792793x76342159;99862879x93154123:16834238x58514734;90721295x63233633
85267948x41030294;85342739x57182303:93959415x63925638;96678640x89319405
15844791x34634901;63383029x35777434:43711382x4320285;73208720x29608040
40611119x55554200;65889318x62069897:76922868x88570467;91858895x96716124
55480188x39864990;68689629x84491498:39158679x16373818;79040254x29217877
49586530x28516488;78874562x92653208:65364511x98437318;86532648x98724188
16081575x8931686;79482967x55239865:16997832x27839438;93378197x69724943
95338677x94140097;99552729x99636248:48231999x55820677;65718351x87014848
11937204x88231668;31919456x99808822:89535729x30527845;90724405x59452065
40114945x36383410;57093847x63867931:2817204x97913098;77200191x98975096
44126537x97662036;76849040x99919301:48640620x62336816;89729656x64080717
1831487x25978527;81459707x87116944:70211467x21218798;84944977x65173975
2274969x186667;94875722x87102072:49179695x30125824;52140271x42497804
45023371x48032731;86455720x74692036:51907186x21661459;90659991x62503487
92491549x45151917;99800521x86736469:89651763x72946041;93333120x77109340
60354095x28164024;94015640x86399657:9527881x15655735;15967560x64170075
7133688x94023688;50802411x99527125:74264283x50702055;84977284x78825836
28439549x44641147;50576444x89901225:34979610x56597520;49478162x78529359
59452349x92943750;66781814x98987010:56968790x10642073;69290885x34283745
21810391x77550069;48231306x82715341:45471479x89542057;53804086x96230525
59707832x77035899;97738705x95415098:73445511x58111602;73713584x58280843
46641220x40838083;64037878x70802158:7135172x70747720;20338118x93738982
28307956x24098714;70603809x90148380:47665509x64575678;52944934x72188228
36381137x46616042;66795413x65525103:19816585x79498515;68113352x80612071
41392478x8312104;83017735x59279573:62590634x73495401;81390109x94544788
59964571x78508901;82610517x99231627:81994030x85619189;92858935x95852979
63043104x75342453;87758028x94933912:86973232x39857151;89390153x83573393
29812078x60217894;66278844x99156117:64628380x53787983;74967112x58973135
53104661x88056936;53903565x90504587:72824900x70284374;91797016x91893564
85501174x5026453;95396281x9048684:50123276x42980709;83806998x65763590
62187819x48447632;80584870x79866235:97189757x30089130;99430674x73390714
31166591x90959619;93050088x94961480:20441311x19199972;65277569x69365342
2776780x23599792;71585227x35674731:7235911x83105879;78483662x90294120
96590625x29330930;97076573x80441064:33052315x67660894;37802128x75932259
