98x19;99x58:94x22;99x74
8x77;31x84:54x88;78x99
40x48;48x98:22x3;35x42
6x80;51x90:6x28;15x80
76x61;97x99:59x32;68x38
97x93;98x96:5x72;75x96
94x92;95x95:76x35;85x36
12x40;61x48:78x84;94x94
94x68;99x90:74x37;97x64
79x91;82x94:17x45;26x80
74x70;79x97:13x78;76x87
52x19;80x68:9x66;16x95
52x67;74x94:77x18;80x41
70x20;81x40:55x9;90x84
9x98;24x99:95x88;96x89
2x57;38x71:35x22;42x38
46x51;64x68:56x94;77x99
0x35;86x36:1x18;37x41
49x63;63x80:96x85;97x91
55x46;88x51:8x68;37x81
11x67;44x87:32x30;91x82
20x11;24x58:21x67;32x68
18x33;25x47:59x54;72x55
45x25;55x73:90x43;97x95
17x67;68x77:24x59;99x95
94x22;96x79:81x27;92x30
5x47;12x67:12x6;46x92
80x70;86x86:41x49;71x78
60x28;72x78:94x34;97x92
47x37;85x97:35x78;43x94
88x50;98x53:71x44;77x89
54x87;69x89:17x16;48x52
71x76;78x94:98x73;99x83
71x1;79x94:89x53;97x93
51x80;85x86:60x5;93x58
83x51;86x98:94x98;99x99
54x95;96x99:38x94;46x95
13x14;44x74:45x77;60x91
77x48;84x66:83x60;87x77
18x80;54x95:8x84;65x96
25x54;64x73:19x89;26x96
72x83;86x96:67x40;82x49
36x12;59x81:17x89;34x92
31x76;98x84:93x29;97x54
49x49;85x84:98x5;99x40
40x65;51x71:45x56;99x73
2x60;93x86:25x61;60x79
61x46;99x66:76x88;90x93
18x79;45x95:95x64;96x88
29x32;86x93:78x53;98x61
39x7;72x84:49x73;91x96
9x91;57x95:0x88;50x89
29x19;33x55:79x58;86x68
27x84;69x95:16x14;84x75
44x86;78x87:17x32;93x56
58x76;63x80:2x73;29x95
89x10;97x29:64x95;74x99
94x66;96x97:55x0;77x42
37x29;56x98:4x16;35x37
71x41;84x60:73x46;76x54
83x2;89x87:89x59;90x69
63x48;71x91:95x67;98x89
10x9;64x47:88x52;94x96
58x45;75x93:54x53;84x83
78x3;87x91:64x39;76x70
69x0;94x55:67x74;70x97
75x41;78x99:97x3;99x44
80x32;99x95:49x77;81x94
66x18;77x47:80x61;82x69
20x73;51x85:76x92;83x93
63x88;87x97:89x21;93x84
38x40;52x86:51x17;55x81
1x73;91x91:40x69;80x82
45x21;88x79:59x67;61x79
3x2;48x42:97x86;99x99
10x82;11x92:66x77;98x87
20x4;21x29:27x29;87x96
95x13;98x29:90x58;91x85
54x77;62x89:3x73;95x89
4x1;49x74:56x56;88x96
1x45;17x92:81x30;85x84
16x49;19x88:69x79;85x98
41x51;43x92:40x65;80x89
25x67;76x85:76x92;90x94
92x35;93x60:8x18;98x75
84x79;88x84:77x10;94x35
66x32;88x93:32x38;99x49
49x7;56x75:94x9;98x64
9x67;53x94:58x56;79x58
82x4;95x91:81x88;86x89
57x22;78x96:90x88;91x89
60x41;96x65:47x60;60x65
15x62;30x85:64x58;76x93
7x7;34x19:14x12;67x63
22x81;94x82:20x37;66x46
57x33;81x56:87x61;97x78
10x25;73x68:10x40;88x98
89x79;90x85:96x94;99x97
77x20;97x23:0x29;49x37
78x71;89x94:73x50;75x87
